File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16993.java.tokens,0.7320842352092353,555,177
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/model/16999.java.tokens,0.85,66,21
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/model/16998.java.tokens,0.8095238095238095,58,22
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/model/16997.java.tokens,0.6919475655430712,232,90
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/statements/17004.java.tokens,0.8043478260869565,59,24
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/statements/17006.java.tokens,0.7678571428571428,90,37
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/statements/17005.java.tokens,0.4796176046176046,1080,364
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/statements/17007.java.tokens,0.8675213675213675,208,79
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/statements/17008.java.tokens,0.8237179487179488,132,53
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/statements/17003.java.tokens,0.8145161290322581,195,63
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16991.java.tokens,0.6711726384364821,824,308
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16992.java.tokens,0.6758461921353908,854,288
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/17000.java.tokens,1.0,9,4
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16990.java.tokens,0.5770542728876062,1080,397
