File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/16699.java.tokens,0.6825396825396826,10,10
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/16696.java.tokens,0.8416666666666666,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/java/16745.java.tokens,0.75,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/java/16743.java.tokens,0.8068783068783068,22,22
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/java/16746.java.tokens,1.0,5,5
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/java/16744.java.tokens,0.782608695652174,24,24
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/16686.java.tokens,0.75,9,9
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/16689.java.tokens,0.880952380952381,15,15
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/eclipse/16710.java.tokens,0.624,51,51
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/eclipse/16712.java.tokens,0.7916666666666666,13,13
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/eclipse/16714.java.tokens,0.7048780487804878,42,42
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/eclipse/16709.java.tokens,0.9230769230769231,14,14
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/eclipse/16715.java.tokens,1.0,5,5
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/eclipse/16707.java.tokens,0.8157894736842105,20,20
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/eclipse/16708.java.tokens,0.8823529411764706,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/eclipse/16711.java.tokens,0.7647058823529411,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/eclipse/16713.java.tokens,0.8461538461538461,14,14
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/16747.java.tokens,1.0,4,4
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/16690.java.tokens,0.7944444444444444,31,31
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/model/16692.java.tokens,0.6466666666666667,51,51
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/16441.java.tokens,0.8558700209643606,54,54
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16460.java.tokens,0.6944444444444445,13,13
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/internal/16475.java.tokens,0.8928571428571429,15,15
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/internal/16473.java.tokens,0.859375,33,33
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/internal/16471.java.tokens,0.7705223880597015,68,68
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/internal/16472.java.tokens,0.8493589743589743,53,53
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/internal/16470.java.tokens,0.8698412698412697,43,43
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/internal/16469.java.tokens,0.8394024276377218,52,52
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/internal/16474.java.tokens,0.8518518518518519,28,28
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/16483.java.tokens,0.8529411764705882,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/16478.java.tokens,0.875,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/16477.java.tokens,0.8529411764705882,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/16491.java.tokens,1.0,5,5
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/16481.java.tokens,0.9210526315789473,20,20
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/16479.java.tokens,0.8888888888888888,19,19
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/internal/16490.java.tokens,0.8558558558558559,38,38
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/internal/16489.java.tokens,0.8861788617886179,42,42
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/internal/16486.java.tokens,0.8636363636363636,56,56
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/internal/16485.java.tokens,0.868421052631579,39,39
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/internal/16487.java.tokens,0.7945578231292516,50,50
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/internal/16488.java.tokens,0.8473484848484848,45,45
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/16482.java.tokens,0.868421052631579,20,20
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/16480.java.tokens,0.90625,17,17
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/task/16484.java.tokens,0.8157894736842105,20,20
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16462.java.tokens,0.8333333333333334,14,14
